"2023-01-25 02:23:35am "," update "," UPDATE product_details SET `view_count` = 94 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:27:21am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '103') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:27:30am "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '103' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromWishList "," R: http://localhost/EthnicWear/whishlist"
"2023-01-25 02:27:39am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '115' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 02:27:57am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '108' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 02:28:01am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '118' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 02:28:05am "," update "," UPDATE product_details SET `view_count` = 314 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:28:05am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '118') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:28:08am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '118', '1', '{""1"":""2"",""2"":""86""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118"
"2023-01-25 02:28:13am "," update "," UPDATE product_details SET `view_count` = 95 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:28:16am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '115', '1', '{""1"":""1"",""2"":""10""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115"
"2023-01-25 02:28:23am "," update "," UPDATE product_details SET `view_count` = 96 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:28:34am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '118' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 02:55:07am "," update "," UPDATE product_details SET `view_count` = 38 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108?pid=108 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:55:09am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '108', '1', '{""1"":""2"",""2"":""95""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108?pid=108"
"2023-01-25 02:56:24am "," update "," UPDATE product_details SET `view_count` = 39 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108?pid=108 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:56:34am "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:56:34am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '103') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 02:56:37am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '103', '1', '{""1"":""1"",""2"":""7""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103"
