"2023-01-25 03:01:02am "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:02:28am "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:02:31am "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:03:56am "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103?pid=103 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:04:07am "," update "," UPDATE product_details SET `view_count` = 58 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139?pid=139 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:04:10am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '139', '1', '{""1"":""2"",""2"":""85""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139?pid=139"
"2023-01-25 03:04:24am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '115' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:04:29am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '108' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:04:33am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '103' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:08:00am "," update "," UPDATE product_details SET `view_count` = 315 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:08:03am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '118', '1', '{""1"":""2"",""2"":""86""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118"
"2023-01-25 03:08:09am "," update "," UPDATE product_details SET `view_count` = 97 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:08:12am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '115', '1', '{""1"":""1"",""2"":""10""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla?pid=115"
"2023-01-25 03:08:22am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '139' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:08:47am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '118' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:09:53am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '115' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2023-01-25 03:10:01am "," update "," UPDATE product_details SET `view_count` = 316 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118 "," R: http://localhost/EthnicWear/shop"
"2023-01-25 03:10:04am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '118', '1', '{""1"":""2"",""2"":""86""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118?pid=118"
