"2023-01-26 02:03:35am "," update "," UPDATE product_details SET `view_count` = 60 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/home"
"2023-01-26 02:03:43am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '135' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-green-mustard-ethnic-motifs-printed-a-line-kurta-s-mustard-vnky8c75-135 "," R: http://localhost/EthnicWear/home"
"2023-01-26 02:03:43am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '135') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-green-mustard-ethnic-motifs-printed-a-line-kurta-s-mustard-vnky8c75-135 "," R: http://localhost/EthnicWear/home"
"2023-01-26 02:10:38am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '110' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/magenta-ruffled-ready-to-wear-saree-s-cherry-red-vnky8c75-110 "," R: http://localhost/EthnicWear/shop"
"2023-01-26 02:10:38am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '110') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/magenta-ruffled-ready-to-wear-saree-s-cherry-red-vnky8c75-110 "," R: http://localhost/EthnicWear/shop"
"2023-01-26 02:11:01am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '110' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/magenta-ruffled-ready-to-wear-saree-s-cherry-red-vnky8c75-110 "," R: http://localhost/EthnicWear/shop"
"2023-01-26 02:12:12am "," update "," UPDATE product_details SET `view_count` = 99 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-26 02:20:56am "," update "," UPDATE product_details SET `view_count` = 41 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-26 02:22:21am "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '132' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromWishList "," R: http://localhost/EthnicWear/whishlist"
"2023-01-26 02:25:38am "," update "," UPDATE product_details SET `view_count` = 320 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-26 02:25:56am "," update "," UPDATE product_details SET `view_count` = 42 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
