"2023-01-28 04:02:01am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '108') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:02:19am "," update "," UPDATE product_details SET `view_count` = 45 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:02:42am "," update "," UPDATE product_details SET `view_count` = 46 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:02:58am "," update "," UPDATE product_details SET `view_count` = 47 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:03:21am "," update "," UPDATE product_details SET `view_count` = 125 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/whishlist"
"2023-01-28 04:09:32am "," update "," UPDATE product_details SET `view_count` = 48 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:10:33am "," update "," UPDATE product_details SET `view_count` = 329 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:13:26am "," update "," UPDATE product_details SET `view_count` = 330 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:14:24am "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:26:56am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '77' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-black-ethnic-motifs-printed-kurta-with-palazzos-with-dupatta-s-black-vnky8c75-77 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:26:56am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '77') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-black-ethnic-motifs-printed-kurta-with-palazzos-with-dupatta-s-black-vnky8c75-77 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:44:14am "," update "," UPDATE product_details SET `view_count` = 331 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 04:44:23am "," update "," UPDATE product_details SET `view_count` = 61 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-magenta-golden-ethnic-motifs-printed-pure-cotton-kurta-m-blush-red-vnky8c75-139 "," R: http://localhost/EthnicWear/shop"
