"2023-01-31 23:00:26pm "," update "," UPDATE product_details SET `view_count` = 400 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:01:32pm "," update "," UPDATE product_details SET `view_count` = 401 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:03:36pm "," update "," UPDATE product_details SET `view_count` = 402 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:05:11pm "," update "," UPDATE product_details SET `view_count` = 403 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:05:52pm "," update "," UPDATE product_details SET `view_count` = 404 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:07:41pm "," update "," UPDATE product_details SET `view_count` = 405 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:07:41pm "," update "," UPDATE product_details SET `view_count` = 406 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:07:42pm "," update "," UPDATE product_details SET `view_count` = 407 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:07:42pm "," update "," UPDATE product_details SET `view_count` = 408 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:07:42pm "," update "," UPDATE product_details SET `view_count` = 409 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:09:08pm "," update "," UPDATE product_details SET `view_count` = 410 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:09:12pm "," update "," UPDATE product_details SET `view_count` = 411 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:11:15pm "," update "," UPDATE product_details SET `view_count` = 412 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:11:19pm "," update "," UPDATE product_details SET `view_count` = 413 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:11:23pm "," update "," UPDATE product_details SET `view_count` = 414 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:11:48pm "," update "," UPDATE product_details SET `view_count` = 415 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:11:51pm "," update "," UPDATE product_details SET `view_count` = 416 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:11:56pm "," update "," UPDATE product_details SET `view_count` = 417 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:12:28pm "," update "," UPDATE product_details SET `view_count` = 418 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:12:39pm "," update "," UPDATE product_details SET `view_count` = 419 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:12:44pm "," update "," UPDATE product_details SET `view_count` = 420 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:12:52pm "," update "," UPDATE product_details SET `view_count` = 421 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:13:00pm "," update "," UPDATE product_details SET `view_count` = 422 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: "
"2023-01-31 23:13:10pm "," update "," UPDATE product_details SET `view_count` = 126 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-31 23:13:18pm "," update "," UPDATE product_details SET `view_count` = 423 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
