"2023-02-01 04:00:25am "," update "," UPDATE product_details SET `view_count` = 508 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:01:45am "," update "," UPDATE product_details SET `view_count` = 509 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:05:12am "," update "," UPDATE product_details SET `view_count` = 510 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:07:09am "," update "," UPDATE product_details SET `view_count` = 511 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:15:45am "," update "," UPDATE product_details SET `view_count` = 512 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:16:33am "," update "," UPDATE product_details SET `view_count` = 513 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:17:16am "," update "," UPDATE product_details SET `view_count` = 514 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:26:14am "," update "," UPDATE product_details SET `view_count` = 515 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:26:44am "," update "," UPDATE product_details SET `view_count` = 516 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:27:21am "," update "," UPDATE product_details SET `view_count` = 517 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:27:38am "," update "," UPDATE product_details SET `view_count` = 518 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:29:19am "," update "," UPDATE product_details SET `view_count` = 519 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:29:45am "," update "," UPDATE product_details SET `view_count` = 520 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:30:08am "," update "," UPDATE product_details SET `view_count` = 521 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-02-01 04:35:24am "," update "," UPDATE product_details SET `view_count` = 522 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
